date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,pending,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
20200819,KY,B,842,836,12,6,4301,4301,640,49,1332,155,689894,3293,,,,,,,40926,37848,627,0,,,,,,9331,,0,730820,3920,45847,11549,,,,0,727742,3837
20200820,KY,B,856,850,14,6,4349,4349,638,48,1337,155,698092,8198,,,,,,,41626,38475,700,0,,,,,,9388,,0,739718,8898,45909,11806,,,,0,736567,8825
20200821,KY,B,864,858,8,6,4362,4362,590,13,1340,166,706202,8110,,,,,,,42265,39068,639,0,,,,,,9448,,0,748467,8749,45988,11940,,,,0,745270,8703
20200822,KY,B,864,858,0,6,4362,4362,590,0,1340,166,706202,0,,,,,,,42265,39068,0,0,,,,,,9448,,0,748467,0,45988,11940,,,,0,745270,0
20200823,KY,B,881,875,17,6,4362,4362,590,0,1340,166,706202,0,,,,,,,43529,40181,1264,0,,,,,,9448,,0,749731,1264,45988,11940,,,,0,745270,0
20200824,KY,B,885,879,4,6,4399,4399,564,37,1348,149,723565,17363,,,,,,,43899,40493,370,0,,,,,,9544,,0,767464,17733,46390,12456,,,,0,764058,18788
20200825,KY,B,895,889,10,6,4446,4446,593,47,1357,151,730900,7335,,,,,,,44568,41054,669,0,,,,,,9594,,0,775468,8004,46484,12864,,,,0,771954,7896
20200826,KY,B,902,896,7,6,4446,4446,593,0,1357,151,738159,7259,,,,,,,45230,41567,662,0,,,,,,9594,,0,783389,7921,46515,13213,,,,0,779726,7772
20200827,KY,B,910,904,8,6,4501,4501,573,55,1368,154,746907,8748,,,,,,,45978,42169,748,0,,,,,,9731,,0,792885,9496,46538,13323,,,,0,789076,9350
20200828,KY,B,918,910,8,8,4532,4532,572,31,1375,158,757893,10986,,,,,,,46757,42811,779,0,,,,,,10266,,0,804650,11765,46635,13399,,,,0,800704,11628
20200829,KY,B,921,913,3,8,4560,4560,570,28,1379,149,768082,10189,,,,,,,47577,43507,820,0,,,,,,10328,,0,815659,11009,46781,13441,,,,0,811589,10885
20200830,KY,B,930,921,9,9,4560,4560,570,0,1379,149,768082,0,,,,,,,48032,43901,455,0,,,,,,10328,,0,816114,455,46781,13441,,,,0,811589,0
